% Model:              weld_defect_v2.mph
% Version:            COMSOL 6.4.0.429
% Date:               Sep 23 2026, 13:36
% Table:              Table 4 - Point Evaluation 1
% C_m (s/m)              Time (s)                 Velocity, Z-component (m/s), Point: (0, 0)
1.0E-6                   6.940000000000001E-8     -0.05208500794371457
1.0E-6                   6.950000000000001E-8     -0.05919791244862488
1.0E-6                   6.960000000000001E-8     -0.06215629505447487
1.0E-6                   6.970000000000001E-8     -0.06105147792928898
1.0E-6                   6.980000000000002E-8     -0.05604348500419019
1.0E-6                   6.990000000000001E-8     -0.04929558608074223
1.0E-6                   7.000000000000002E-8     -0.04354323158005223
1.0E-6                   7.010000000000001E-8     -0.039569557662993214
1.0E-6                   7.02E-8                  -0.0358844278547023
1.0E-6                   7.030000000000001E-8     -0.030962857670413176
1.0E-6                   7.040000000000001E-8     -0.025511642657051935
1.0E-6                   7.050000000000002E-8     -0.02247811957371307
1.0E-6                   7.060000000000001E-8     -0.024778003067095617
1.0E-6                   7.070000000000002E-8     -0.032259645771180095
1.0E-6                   7.080000000000001E-8     -0.03963021682411758
1.0E-6                   7.09E-8                  -0.03706227709073357
1.0E-6                   7.100000000000001E-8     -0.014779237208381903
1.0E-6                   7.110000000000001E-8     0.02952187826455854
1.0E-6                   7.120000000000002E-8     0.0854007699200765
1.0E-6                   7.130000000000001E-8     0.13248715309564574
1.0E-6                   7.140000000000002E-8     0.15194399340236237
1.0E-6                   7.150000000000001E-8     0.1388239860575992
1.0E-6                   7.16E-8                  0.10480918032017396
1.0E-6                   7.170000000000001E-8     0.06819076312199741
1.0E-6                   7.180000000000001E-8     0.03948816399607451
1.0E-6                   7.190000000000002E-8     0.015388333517385817
1.0E-6                   7.200000000000001E-8     -0.014088517502050535
1.0E-6                   7.210000000000002E-8     -0.05264035115677339
1.0E-6                   7.220000000000001E-8     -0.09122326884853353
1.0E-6                   7.23E-8                  -0.11350775257408369
1.0E-6                   7.240000000000001E-8     -0.10764528067442916
1.0E-6                   7.250000000000001E-8     -0.07412844563292159
1.0E-6                   7.260000000000001E-8     -0.02445761373208151
1.0E-6                   7.270000000000001E-8     0.02630980688492875
1.0E-6                   7.280000000000002E-8     0.06622661040872659
1.0E-6                   7.290000000000001E-8     0.08839004194635228
1.0E-6                   7.300000000000002E-8     0.08970112963905802
1.0E-6                   7.310000000000001E-8     0.07050207538577138
1.0E-6                   7.320000000000001E-8     0.036790378506807234
1.0E-6                   7.330000000000001E-8     0.002360593207777373
1.0E-6                   7.340000000000001E-8     -0.01353665201183831
1.0E-6                   7.350000000000002E-8     0.00560910297796172
1.0E-6                   7.360000000000001E-8     0.06372377392727946
1.0E-6                   7.370000000000002E-8     0.14790905604899232
1.0E-6                   7.380000000000001E-8     0.2341097500098196
1.0E-6                   7.39E-8                  0.29972729188544783
1.0E-6                   7.400000000000001E-8     0.33455477294306235
1.0E-6                   7.410000000000001E-8     0.3424128767780291
1.0E-6                   7.420000000000002E-8     0.3330564492090144
1.0E-6                   7.430000000000001E-8     0.3114514288548537
1.0E-6                   7.440000000000002E-8     0.27321060680187426
1.0E-6                   7.450000000000001E-8     0.20958296207507354
1.0E-6                   7.46E-8                  0.11750998272096788
1.0E-6                   7.470000000000001E-8     0.006328929626199912
1.0E-6                   7.480000000000001E-8     -0.10431461499236831
1.0E-6                   7.490000000000002E-8     -0.1936575124465257
1.0E-6                   7.500000000000001E-8     -0.24918082413057382
1.0E-6                   7.510000000000002E-8     -0.269950466562831
1.0E-6                   7.520000000000001E-8     -0.2631984255406716
1.0E-6                   7.53E-8                  -0.23833411584932424
1.0E-6                   7.540000000000001E-8     -0.2028671934318448
1.0E-6                   7.550000000000001E-8     -0.16122879310870622
1.0E-6                   7.560000000000002E-8     -0.11462050793851714
1.0E-6                   7.570000000000001E-8     -0.06070569947358083
1.0E-6                   7.580000000000002E-8     0.00551772344000742
1.0E-6                   7.590000000000001E-8     0.0878909760874988
1.0E-6                   7.600000000000002E-8     0.18341683389750738
1.0E-6                   7.610000000000001E-8     0.27893040009988446
